score,comment
4,"The first episode spent far too much time showing rather than telling. There was no 'grab you by the balls and never letting go'. The show spent fifteen minutes of boredom in a forty-six minute episode. The story of the protagonist is could be summed up in less than five minutes. I don't need that much time to understand the background story. The action is limited to a few moments, then it is back to boring dialogue. The best scenes are when the antagonist (Ethan Hawke) is present. I gathered more information and more action when he was present during a five minute scene than in eighty minutes of Steven/Marc talking to each other in a mirror.

The second episode was worse. They rehashed the same story again and wasted twenty minutes doing it. Enough all ready. We know the backstory. You only needed five minutes to do that, stop dragging this out and get in to the action.

The casting is fine. Ethan Hawke is fantastic. Wow he really has his character nailed. Oscar Isaac is good, but I think they spend far too much time forcing him to talk about his problems and how he is trying to resist what is happening to him. His character is intelligent. It shouldn't take him that long to realize what is needed. Heck, he puts sand around his bed, tethers himself to the bed, and knows that he has creatures chasing him. This conflict doesn't make sense.

When there are action scenes the show is at its best. The cinematography is good. The backdrops at night are the best. The dark and sinister feeling you get is like walking in to an alley with shadows chasing after you."
9,"I heard of Moon Knight, but never really knew the hold story, but then I saw the first episode on Disney plus, and I gotta say I'm excited for what comes next. Oscar Issac really takes us on this journey, playing like a Cary Grant like style.

Nice to see another Marvel Character is making there debut, seems like at the moment that it's trying to stand on it's own, without trying to be a reminder that it's in the marvel universe, and I hope it stays that way. Ethan Hawke is great in his role, I'd rather not spoil who he plays."
8,"A strong first episode setting the scene of a multiple personality protagonist. The reflection metaphors work well (mirrors, puddles, scales ...) even if they are pasted on so thickly. So too the missing time around the girl, the goldfish and most impactfully the fighting. The use of implied violence is compelling especially in the car chase where there is already explosive action - this also informs us of the character of the alter ego.

Passable acting from the three main characters - Isaac, Hawke and Calamawy. Some of the support cast, however, are poor, notably the wooden portrayal of the museum supervisor played by Lucy Thackeray - who, based on this single example, could not act her way out of a paper bag!"
8,"I loved the whole ep, Oscar Isaac is perfect for this role. I can't really talk to much about it but the way they presented moon knight was a kids dream , super cool and true to what a hero is . I don't think I got that moved ever for a superhero introduction."
4,"Another mediocre show.

We are accustomed to the fact that the content that arrives is usually boring, tedious, with hilarious dialogue and predictable characters and situations, because producers set certain requirements that writers must adhere to.

If certain characters and situations are not written, as well as certain dialogues, the series or film will not be funded. That's why most movies and shows today are predictable and tedious.

It might be a lot more interesting, but unfortunately, this is just another in a series of boring and predictable mediocre productions. Oscar Isaac is a good actor, but it's just weird to hear him speak with a British accent. It doesn't sound bad, but it does sound like a parody at times.

The show is barely watchable, with solid special effects, nothing new we haven't seen before. Most series and movies have almost identical characters and themes, which made most of them predictable, tedious and boring. Oscar Isaac is a solid actor and a good choice for this role, but the script is, as usual, mediocre and predictably lukewarm.

Moon Knight is no different from most film productions and fits into the mediocrity of today's entertainment industry. Unfortunately, most shows have become tedious, predictable and boring.

The show has solid acting talent, but that's all it has, it doesn't even have an interesting action scenes. It might be a lot more interesting, but unfortunately, this is just another in a series of boring and predictable mediocre productions.

In the end, this is just another lukewarm show that is not worth wasting time on."
10,"This was amazing.

Totally what I wasn't expecting, but it blew my mind into the stratosphere...

I love the pacing and the storytelling route they have chosen for this extraordinary adventure.

MOON KNIGHT HAS RISEN ??"
1,"I usually love anything about superheroes, be it Marvel or DC ,doesnt matter...This series is so bad I can barely sit thru it and thats fastforwarding thru the most boring parts...Which ,for me ,is about 2/3rds of the show...Why dont I like it? Well, its the main character ...Watching him wimpering thru his psychosis for an hr just doesnt make for an interesting super hero show...This is really poor writing and when the superhero starts to come out, it sounds like he;s channelling ""Venom"" from the movie..Ive liked Oscar issac in Dune and Ex machina. But what they have him playing here is not in the least appealing...Hrad to believe anyone would find it interesting to watch this...Hard pass..."
10,"Creators, with all its details, one episode that made me excited, the sequel of the series, mentioning the civilization of Egypt, makes me feel proud because I am an Arab."
7,"Okay, it's just two episodes in so this isn't a comprehensive review but I like it so far. First episode was great, I loved how we sorta get to look at it from Spencer's point of view and you can feel how panicked and nervous he always is and what he deals with, I was however left yearning to see more of the Egyptian mystical powers and we only got a glimpse but the following episode gives us a better picture. It's taking longer than I thought to build up but I wouldn't call it slow paced, i think I'm just eager to see everything unleashed. I love how stand-alone it is and how I have to remind myself it's a marvel production which makes me even more excited to see how all this fits into the MCU( I don't read the comics). Oscar Isaac is great and I've always been into Egyptian mythology and I'm excited to see Egyptian gods brought into life by marvel and hope it lives up to it's potential. Ethan hawk as the antagonist is also perfect for the role and steals the show every time he's on. Only thing I'm not too pleased about so far is it's a spencer show all the way and we don't get to see moon knight fully released, or the power of the gods, but then again it's only two episodes in and maybe that's how the story's told in the books. Also, in episode two marvel tried to sneak in a few forced laughs, I've been saying this for a while, as good as it is to have a laugh but we need to be released from the clutches of whoever decided superhero movies and shows all need to have laughs in it. If there's an uncontrived funny scene that's fine, but don't go out of your way to devise one; it's absolutely perfect for it to be dark or serious. Humor in like deadpool for example was amazing and made sense for the character, doesn't mean it should spill over to everything else. Apart from that, so far so good, it's a good start and I hope it only keeps getting better from here."
8,"Let me start by saying this review may go down depending on future episodes... I'm rating this based on the premier... it may even go higher who knows. What I do know is I was VERY surprised... when I saw the trailers I was thinking it would be average at best mcu show... but This is everything I wanted venom to be... idk why I liked this so much. Just Based on the first episode alone it definitely has some things that aren't explained thoroughly and leaves it open, and I can see why people may say ""wait until the other episodes come out and their score may go higher"" I understand. But I love this so much because I feel like marvel matured a bit more with this one. It still has that similar MCU charm but it has a very thrilling element... it is very similar to venom this idea of something taking over your body and talking in your head... it has a very Jason Bourne feel to it with a mystery feel... a dash of superhero charm... Idk why I liked it so much but I just know I did.... I believe it just had to do with how well they mastered suspense, thriller, dash of horror, complex story and a sense of mystery into one episode alone. It was very captivating and also OSCAR ISSACS performance blew my mind... very impressive

Pros: Oscar Isaac knocks it out this world, the story and plot is very mysterious, the show has a great and clear direction for what it's trying to achieve even though it's not explained thoroughly in one episode...

Cons: will have to check out other episodes to maybe explain more on what just happened... some things feel a little pushed fast, not too fast but just things are happening a bit faster than it should."
